"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0H9A0","2019-08-24 00:00:00","1595.000","294.000","0.900","18.900","0.960","840.100","-99.000","0.000","-99.000","-99.000","-99.000","26.100","","15.500",""
"C0Z300","2019-08-24 00:00:00","182.000","15.000","2.900","25.000","0.990","987.800","-99.000","9.000","-99.000","-99.000","-99.000","32.800","","24.100",""
"C0G730","2019-08-24 00:00:00","27.000","176.000","1.900","28.500","0.950","999.600","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.500",""
"C0V730","2019-08-24 00:00:00","33.000","79.000","0.700","28.600","0.990","999.400","-99.000","1.500","-99.000","-99.000","-99.000","33.700","","27.500",""
"C0SA00","2019-08-24 00:00:00","466.000","60.000","3.000","26.300","0.720","952.400","-99.000","0.000","8.700","91.000","","29.700","","22.100",""
"C0S900","2019-08-24 00:00:00","27.000","344.000","7.300","28.500","0.800","997.900","-99.000","11.000","17.400","335.000","","29.200","","26.800",""
"C0C480","2019-08-24 00:00:00","105.000","117.000","1.600","28.400","0.780","992.900","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","27.000",""
"C0V720","2019-08-24 00:00:00","15.000","54.000","0.500","29.400","0.900","1001.000","-99.000","0.500","-99.000","-99.000","-99.000","33.100","","28.200",""
"C0UA60","2019-08-24 00:00:00","566.000","108.000","2.400","24.200","0.990","945.200","-99.000","6.000","-99.000","-99.000","-99.000","30.100","","22.400",""
"C0A980","2019-08-24 00:00:00","11.000","116.000","2.600","29.000","0.750","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","28.400",""
"C0C670","2019-08-24 00:00:00","250.000","39.000","3.300","27.200","0.760","976.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.500",""
"C0K550","2019-08-24 00:00:00","15.000","187.000","0.900","28.400","0.930","1000.800","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.400",""
"C0R350","2019-08-24 00:00:00","35.000","24.000","4.100","27.300","-99.000","997.400","-99.000","0.500","-99.000","-99.000","-99.000","31.800","","25.000",""
"C0T9F0","2019-08-24 00:00:00","251.000","65.000","0.600","25.100","0.960","979.100","-99.000","14.500","-99.000","-99.000","-99.000","32.000","","24.100",""
"C0D390","2019-08-24 00:00:00","146.000","0.000","0.000","28.200","0.740","985.400","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","24.400",""
"C0E430","2019-08-24 00:00:00","258.000","0.000","0.000","25.400","0.970","977.200","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","23.700",""
"C0O990","2019-08-24 00:00:00","18.000","0.000","0.100","27.300","0.990","1000.400","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","26.400",""
"CM0010","2019-08-24 00:00:00","68.000","72.000","0.600","27.500","-99.000","998.900","-99.000","1.000","-99.000","-99.000","-99.000","32.400","","25.600",""
"C0K500","2019-08-24 00:00:00","12.000","189.000","1.200","28.700","0.930","999.700","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","26.400",""
